[10:45:01] [Server thread/INFO]: Starting minecraft server version 1.10.2
[10:47:01] [Server thread/INFO]: Loading properties
[10:47:01] [Server thread/INFO]: Default game type: SURVIVAL
[10:47:01] [Server thread/INFO]: Generating keypair
[10:47:01] [Server thread/INFO]: Starting Minecraft server on *:25565
[10:47:01] [Server thread/INFO]: Using default channel type
[10:47:30] [Server thread/INFO]: Preparing level "world"
[10:47:38] [Server thread/INFO]: Preparing start region for level 0
[10:47:41] [Server thread/INFO]: Preparing spawn area: 45%
[10:47:42] [Server thread/INFO]: Done (11.801s)! For help, type "help" or "?"
[16:43:36] [Server thread/INFO]: ReelablePenny14 lost connection: TextComponent{text='Disconnected', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}
[16:43:36] [Server thread/INFO]: ReelablePenny14 left the game
[16:43:50] [User Authenticator #3/INFO]: UUID of player ReelablePenny14 is dfea9c0c-337a-4402-9e4a-2b1dc441cea4
[16:43:54] [Server thread/INFO]: ReelablePenny14[/127.0.0.1:54002] logged in with entity id 1669602 at (108.72001529139273, 58.75, 240.7052907503984)
[16:43:54] [Server thread/INFO]: ReelablePenny14 joined the game
[16:43:55] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2423ms behind, skipping 48 tick(s)
[16:47:30] [Server thread/INFO]: Server Backup started!
[16:47:32] [Thread-101/INFO]: Server backup done in 00:00:01! (12.0MB | 134.2MB)
[16:54:33] [Server thread/INFO]: ReelablePenny14 has just earned the achievement [Magical Wood]
[16:58:48] [Server thread/INFO]: Stopping the server
[16:58:48] [Server thread/INFO]: Stopping server
[16:58:48] [Server thread/INFO]: Saving players
[16:58:48] [Server thread/INFO]: Saving worlds
[16:58:48] [Server thread/INFO]: Saving chunks for level 'world'/Overworld
[16:58:49] [Server thread/INFO]: Saving chunks for level 'world'/Nether
[16:58:49] [Server thread/INFO]: Saving chunks for level 'world'/The End
[16:58:49] [Server thread/INFO]: Saving chunks for level 'world'/ExtraUtils2_Quarry_Dim
[16:58:49] [Server thread/INFO]: Saving chunks for level 'world'/fakeend
[16:58:49] [Server thread/INFO]: Saving chunks for level 'world'/fakenether
[16:58:49] [Server thread/INFO]: Saving chunks for level 'world'/fakeoverworld
[16:58:49] [Server thread/INFO]: Saving chunks for level 'world'/Overworld
[16:58:53] [Server Shutdown Thread/INFO]: Stopping server
